tconst	fType	title	originaltitle	startYear	endYear	runTime	genres
tt0035423	movie	Kate & Leopold	Kate & Leopold	2001	0	118	"Comedy,Fantasy,Romance"
tt0062336	movie	The Tango of the Widower and Its Distorting Mirror	El tango del viudo y su espejo deformante	2020	0	70	Drama
tt0081145	movie	Me and the Kid	Me and the Kid	1993	0	94	"Comedy,Crime,Drama"
tt0082972	movie	Rare Breed	Rare Breed	1984	0	94	Drama
tt0083643	movie	Best Revenge	Best Revenge	1984	0	96	Drama
tt0084460	movie	P.K. and the Kid	P.K. and the Kid	1987	0	89	Drama
tt0086127	movie	Vanishing Point	Point de fuite	1984	0	75	Drama
tt0086837	movie	2010: The Year We Make Contact	2010: The Year We Make Contact	1984	0	116	"Adventure,Mystery,Sci-Fi"
tt0086846	movie	Out of Order	Abwärts	1984	0	90	Thriller
tt0086856	movie	The Adventures of Buckaroo Banzai Across the 8th Dimension	The Adventures of Buckaroo Banzai Across the 8th Dimension	1984	0	103	"Adventure,Comedy,Sci-Fi"
tt0086859	movie	Against All Odds	Against All Odds	1984	0	128	"Action,Adventure,Crime"
tt0086879	movie	Amadeus	Amadeus	1984	0	160	"Biography,Drama,Music"
tt0086880	movie	The Terrible Lovers	Les amants terribles	1985	0	90	Drama
tt0086924	movie	Ave Maria	Ave Maria	1984	0	105	"Drama,Romance"
tt0086927	movie	Bachelor Party	Bachelor Party	1984	0	105	Comedy
tt0086945	movie	The Bear	The Bear	1984	0	110	"Biography,Drama,Family"
tt0086955	movie	Best Defense	Best Defense	1984	0	94	"Comedy,War"
tt0086960	movie	Beverly Hills Cop	Beverly Hills Cop	1984	0	105	"Action,Comedy,Crime"
tt0086969	movie	Birdy	Birdy	1984	0	120	"Drama,War"
tt0086973	movie	Blame It on Rio	Blame It on Rio	1984	0	100	"Comedy,Romance"
tt0086979	movie	Blood Simple	Blood Simple	1984	0	99	"Crime,Drama,Thriller"
tt0086984	movie	Body Double	Body Double	1984	0	114	"Crime,Drama,Mystery"
tt0086993	movie	The Bounty	The Bounty	1984	0	132	"Adventure,Drama,History"
tt0087001	movie	A Breed Apart	A Breed Apart	1984	0	95	"Action,Drama"
tt0087015	movie	C.H.U.D.	C.H.U.D.	1984	0	88	"Horror,Sci-Fi"
tt0087042	movie	Cheech & Chong's: The Corsican Brothers	Cheech & Chong's The Corsican Brothers	1984	0	82	Comedy
tt0087050	movie	Children of the Corn	Children of the Corn	1984	0	92	"Horror,Thriller"
tt0087061	movie	The City Girl	The City Girl	1984	0	85	Drama
tt0087078	movie	Conan the Destroyer	Conan the Destroyer	1984	0	103	"Action,Adventure,Fantasy"
tt0087085	movie	The Gold and the Glory	The Coolangatta Gold	1984	0	112	"Drama,Sport"
tt0087089	movie	The Cotton Club	The Cotton Club	1984	0	129	"Crime,Drama,Music"
tt0087091	movie	Country	Country	1984	0	105	Drama
tt0087100	movie	Crimes of Passion	Crimes of Passion	1984	0	107	"Drama,Romance,Thriller"
tt0087175	movie	Dreamscape	Dreamscape	1984	0	99	"Action,Adventure,Horror"
tt0087197	movie	Electric Dreams	Electric Dreams	1984	0	95	"Comedy,Drama,Music"
tt0087231	movie	The Falcon and the Snowman	The Falcon and the Snowman	1985	0	131	"Biography,Crime,Drama"
tt0087233	movie	Falling in Love	Falling in Love	1984	0	106	"Drama,Romance"
tt0087247	movie	Fear City	Fear City	1984	0	95	"Crime,Drama,Mystery"
tt0087262	movie	Firestarter	Firestarter	1984	0	114	"Action,Horror,Sci-Fi"
tt0087268	movie	Flashpoint	Flashpoint	1984	0	93	"Action,Crime,Drama"
tt0087277	movie	Footloose	Footloose	1984	0	107	"Drama,Music,Romance"
tt0087313	movie	Garbo Talks	Garbo Talks	1984	0	103	"Comedy,Drama"
tt0087333	movie	Gimme an 'F'	Gimme an 'F'	1984	0	101	Comedy
tt0087359	movie	"Grandview, U.S.A."	"Grandview, U.S.A."	1984	0	97	Drama
tt0087363	movie	Gremlins	Gremlins	1984	0	106	"Comedy,Fantasy,Horror"
tt0087365	movie	"Greystoke: The Legend of Tarzan, Lord of the Apes"	"Greystoke: The Legend of Tarzan, Lord of the Apes"	1984	0	143	"Adventure,Drama"
tt0087451	movie	The Ice Pirates	The Ice Pirates	1984	0	91	"Action,Adventure,Comedy"
tt0087464	movie	Impulse	Impulse	1984	0	91	"Horror,Mystery,Sci-Fi"
tt0087469	movie	Indiana Jones and the Temple of Doom	Indiana Jones and the Temple of Doom	1984	0	118	"Action,Adventure"
tt0087474	movie	Inquilaab	Inquilaab	1984	0	152	"Action,Drama,Thriller"
tt0087485	movie	Isaac Littlefeathers	Isaac Littlefeathers	1984	0	100	Drama
tt0087507	movie	Johnny Dangerously	Johnny Dangerously	1984	0	90	"Comedy,Crime"
tt0087538	movie	The Karate Kid	The Karate Kid	1984	0	126	"Action,Drama,Family"
tt0087553	movie	The Killing Fields	The Killing Fields	1984	0	141	"Biography,Drama,History"
tt0087578	movie	Wheels on Meals	Kuai can che	1984	0	108	"Action,Comedy,Crime"
tt0087643	movie	Love Scenes	Love Scenes	1984	0	82	Drama
tt0087666	movie	Making the Grade	Making the Grade	1984	0	105	"Comedy,Romance"
tt0087688	movie	Mass Appeal	Mass Appeal	1984	0	99	Drama
tt0087730	movie	Misunderstood	Misunderstood	1984	0	91	Drama
tt0087781	movie	The Natural	The Natural	1984	0	138	"Drama,Sport"
tt0087800	movie	A Nightmare on Elm Street	A Nightmare on Elm Street	1984	0	91	Horror
tt0087803	movie	1984	Nineteen Eighty-Four	1984	0	113	"Drama,Sci-Fi"
tt0087826	movie	Observations Under the Volcano	Observations Under the Volcano	1984	0	82	Documentary
tt0087829	movie	Odd Jobs	Odd Jobs	1986	0	88	Comedy
tt0087866	movie	Oxford Blues	Oxford Blues	1984	0	97	"Comedy,Drama,Sport"
tt0087884	movie	"Paris, Texas"	"Paris, Texas"	1984	0	145	Drama
tt0087908	movie	Pet Pyaar Aur Paap	Pet Pyaar Aur Paap	1984	0	128	"Drama,Family"
tt0087909	movie	Phenomena	Phenomena	1985	0	116	"Crime,Horror,Mystery"
tt0087928	movie	Police Academy	Police Academy	1984	0	96	Comedy
tt0087932	movie	The Pope of Greenwich Village	The Pope of Greenwich Village	1984	0	121	"Action,Comedy,Crime"
tt0087968	movie	Racing with the Moon	Racing with the Moon	1984	0	108	"Comedy,Drama,Romance"
tt0087983	movie	Reckless	Reckless	1984	0	90	"Comedy,Drama,Romance"
tt0087985	movie	Red Dawn	Red Dawn	1984	0	114	"Action,Drama,Thriller"
tt0087995	movie	Repo Man	Repo Man	1984	0	92	"Action,Comedy,Crime"
tt0088001	movie	Rhinestone	Rhinestone	1984	0	111	"Comedy,Music"
tt0088006	movie	The River Rat	The River Rat	1984	0	93	"Adventure,Crime,Drama"
tt0088007	movie	The River	The River	1984	0	124	Drama
tt0088008	movie	Roadhouse 66	Roadhouse 66	1984	0	90	"Action,Comedy,Romance"
tt0088011	movie	Romancing the Stone	Romancing the Stone	1984	0	106	"Action,Adventure,Comedy"
tt0088088	movie	Sentimental Reasons	Sentimental Reasons	1984	0	85	"Action,Drama"
tt0088099	movie	Sharaabi	Sharaabi	1984	0	180	"Comedy,Drama,Romance"
tt0088119	movie	Silver City	Silver City	1984	0	101	"Drama,History,Romance"
tt0088128	movie	Sixteen Candles	Sixteen Candles	1984	0	93	"Comedy,Romance"
tt0088153	movie	Songwriter	Songwriter	1984	0	94	"Drama,Music"
tt0088161	movie	Splash	Splash	1984	0	111	"Comedy,Fantasy,Romance"
tt0088172	movie	Starman	Starman	1984	0	115	"Romance,Sci-Fi"
tt0088176	movie	The Stone Boy	The Stone Boy	1984	0	91	Drama
tt0088182	movie	Un amour interdit	Un amour interdit	1984	0	95	Drama
tt0088194	movie	Streets of Fire	Streets of Fire	1984	0	93	"Action,Crime,Drama"
tt0088200	movie	Success Is the Best Revenge	Success Is the Best Revenge	1984	0	91	Drama
tt0088242	movie	Teachers	Teachers	1984	0	107	"Comedy,Drama"
tt0088247	movie	The Terminator	The Terminator	1984	0	107	"Action,Sci-Fi"
tt0088256	movie	Thief of Hearts	Thief of Hearts	1984	0	100	"Crime,Drama,Thriller"
tt0088286	movie	Top Secret!	Top Secret!	1984	0	90	"Comedy,Crime,Music"
tt0088287	movie	Torchlight	Torchlight	1984	0	90	"Drama,Romance"
tt0088307	movie	Tutti dentro	Tutti dentro	1984	0	108	"Comedy,Drama"
tt0088315	movie	Swann in Love	Un amour de Swann	1984	0	110	"Drama,Romance"
tt0088323	movie	The NeverEnding Story	Die unendliche Geschichte	1984	0	102	"Adventure,Drama,Family"
tt0088330	movie	Until September	Until September	1984	0	95	"Drama,Romance"
tt0088351	movie	Vidas	Vidas	1984	0	102	Drama
tt0088356	movie	Violated	Violated	1984	0	88	"Crime,Drama,Thriller"
tt0088421	movie	Xiao jiang	Xiao jiang	1985	0	91	Drama
tt0088423	movie	Siu Tai Gik	Siu Tai Gik	1984	0	91	"Action,Comedy"
tt0088443	movie	Los zancos	Los zancos	1984	0	95	Drama
tt0088645	movie	1918	1918	1985	0	94	Drama
tt0088715	movie	Love on the Quiet	L'amour en douce	1985	0	100	Comedy
tt0088722	movie	The Angelic Conversation	The Angelic Conversation	1985	0	77	Drama
tt0088763	movie	Back to the Future	Back to the Future	1985	0	116	"Adventure,Comedy,Sci-Fi"
tt0088781	movie	Beer	Beer	1985	0	82	Comedy
tt0088809	movie	Birds of Prey	Birds of Prey	1985	0	80	Thriller
tt0088830	movie	Eternal Evil	The Blue Man	1985	0	85	Horror
tt0088846	movie	Brazil	Brazil	1985	0	132	"Drama,Sci-Fi"
tt0088847	movie	The Breakfast Club	The Breakfast Club	1985	0	97	"Comedy,Drama"
tt0088848	movie	Breaking All the Rules	Breaking All the Rules	1985	0	91	"Comedy,Crime,Romance"
tt0088850	movie	Brewster's Millions	Brewster's Millions	1985	0	102	Comedy
tt0088870	movie	Star Knight	El caballero del dragón	1985	0	90	"Adventure,Fantasy,Sci-Fi"
tt0088889	movie	Cat's Eye	Cat's Eye	1985	0	94	"Comedy,Horror,Thriller"
tt0088915	movie	A Chorus Line	A Chorus Line	1985	0	113	"Drama,Music,Musical"
tt0088925	movie	City Limits	City Limits	1984	0	86	"Action,Adventure,Sci-Fi"
tt0088930	movie	Clue	Clue	1985	0	94	"Comedy,Crime,Mystery"
tt0088933	movie	Cocoon	Cocoon	1985	0	117	"Comedy,Drama,Sci-Fi"
tt0088939	movie	The Color Purple	The Color Purple	1985	0	154	Drama
tt0088944	movie	Commando	Commando	1985	0	90	"Action,Adventure,Thriller"
tt0088947	movie	Compromising Positions	Compromising Positions	1985	0	99	"Comedy,Drama,Mystery"
tt0088967	movie	Crimewave	Crimewave	1985	0	86	"Comedy,Crime,Horror"
tt0088987	movie	Dance with a Stranger	Dance with a Stranger	1985	0	96	"Biography,Crime,Drama"
tt0089009	movie	Defense of the Realm	Defence of the Realm	1985	0	96	Thriller
tt0089017	movie	Desperately Seeking Susan	Desperately Seeking Susan	1985	0	104	"Comedy,Drama"
tt0089052	movie	Dreamchild	Dreamchild	1985	0	94	"Biography,Comedy,Drama"
tt0089066	movie	Detective	Détective	1985	0	95	"Comedy,Crime,Drama"
