tconst	ordering	nconst	category	job	characters
tt6964076	1	nm0667556	archive_footage		"[""Self""]"
tt6964076	3	nm3819359	self		"[""Self""]"
tt6964076	4	nm0004881	self		"[""Self""]"
tt6964076	5	nm0000165	director		
tt6964076	9	nm0004976	producer	producer	
tt6966692	1	nm0001557	actor		"[""Tony Lip""]"
tt6966692	2	nm0991810	actor		"[""Dr. Donald Shirley""]"
tt6966692	3	nm0004802	actor		"[""Dolores""]"
tt6966692	4	nm1724319	actor		"[""Johnny Venere""]"
tt6966692	5	nm0268380	director		
tt6966692	7	nm0192942	writer	written by	
tt6972140	1	nm0451234	actor		"[""Dev Kaushal""]"
tt6972140	2	nm4112854	actor		"[""Reena""]"
tt6972140	3	nm0007107	actor		"[""Mili (dancer in bewafa beauty song)""]"
tt6972140	4	nm0244890	actor		"[""Dolly Verma""]"
tt6972140	8	nm11405540	producer	producer	
tt6972140	9	nm1024685	producer	producer	
tt6977240	1	nm0000680	actor		"[""Johnny Rico""]"
tt6977240	2	nm0000539	actor		"[""Dizzy Flores""]"
tt6977240	4	nm0233381	actor		"[""Carl Jenkins""]"
tt6977240	5	nm0032925	director		
tt6977338	10	nm1015867	composer		
tt6977338	1	nm5016878	actor		"[""Max""]"
tt6977338	2	nm5470093	actor		"[""Lucas""]"
tt6977338	4	nm1094137	actor		"[""Hannah""]"
tt6977338	5	nm1969144	director		
tt6977338	7	nm1698571	producer	producer	
tt6977338	8	nm0736622	producer	producer	
tt6977726	10	nm2601603	producer	producer	
tt6977726	1	nm0000616	actor		"[""Maxwell Stern""]"
tt6977726	3	nm0184392	actor		"[""Vice President John Phillips""]"
tt6977726	4	nm0383533	actor		"[""Liz sterling""]"
tt6980546	10	nm1196042	composer		
tt6980546	1	nm1121870	actor		"[""Bharath""]"
tt6980546	2	nm6442009	actor		"[""Vasumathi""]"
tt6980546	3	nm0695177	actor		"[""Varadarajulu""]"
tt6980546	4	nm0764877	actor		"[""Raghavulu""]"
tt6980546	5	nm2270180	director		
tt6980546	9	nm2355581	producer	producer	
tt6987770	1	nm0000213	actor		"[""Lindsay""]"
tt6987770	2	nm0000206	actor		"[""Frank""]"
tt6987770	3	nm8329660	actor		"[""Bride""]"
tt6987770	5	nm0505741	director		
tt6987770	9	nm0743919	composer		
tt6988116	1	nm1017633	actor		"[""Roop""]"
tt6988116	2	nm6442009	actor		"[""Lajjo""]"
tt6988116	3	nm0004569	actor		"[""Balraj Chaudhry""]"
tt6988116	4	nm5305841	actor		"[""(Dancer in the song 'Aira Gera')""]"
tt6988116	7	nm4990507	writer	dialogue	
tt6988116	9	nm0424103	producer	producer	
tt6998518	1	nm0000115	actor		"[""Red Miller""]"
tt6998518	2	nm2057859	actor		"[""Mandy Bloom""]"
tt6998518	3	nm0730070	actor		"[""Jeremiah Sand""]"
tt6998518	4	nm0219329	actor		"[""Brother Swan""]"
tt6998562	1	nm2132667	actor		
tt6998562	3	nm0621937	actor		"[""Peter S Kumar""]"
tt7008872	10	nm1880996	cinematographer	director of photography	
tt7008872	1	nm2348627	actor		"[""Jared Eamons""]"
tt7008872	2	nm0000173	actor		"[""Nancy Eamons""]"
tt7008872	3	nm0249291	actor		"[""Victor Sykes""]"
tt7008872	4	nm0000128	actor		"[""Marshall Eamons""]"
tt7008872	6	nm0326512	producer	producer	
tt7014356	10	nm0005678	cinematographer		
tt7014356	1	nm0746125	actor		"[""Tsar Nicholas""]"
tt7014356	2	nm6917958	actor		"[""Anastasia""]"
tt7014356	3	nm0614220	actor		"[""Yara the Enchantress""]"
tt7014356	4	nm6403233	actor		"[""Megan""]"
tt7017502	1	nm4554428	actor		"[""Fernando""]"
tt7017502	2	nm0001579	actor		"[""Balthazar""]"
tt7017502	3	nm4003168	actor		"[""Lia""]"
tt7017502	4	nm0877270	actor		"[""Lou""]"
tt7017502	5	nm0201524	director		
tt7017502	6	nm2643660	writer		
tt7019812	1	nm1333687	actor		"[""Raghuvaran B.E""]"
tt7019812	2	nm0004418	actor		"[""Vasundhara""]"
tt7019812	3	nm3898762	actor		"[""Shalini""]"
tt7019812	4	nm0900266	actor		"[""Azhagu Sundaram""]"
tt7019812	5	nm1983400	director		
tt7019812	6	nm3251890	writer	hindi dialogue	
tt7019820	1	nm4792434	actor		"[""Arivu""]"
tt7019820	2	nm1335704	actor		"[""Aadhi""]"
tt7019820	3	nm1521381	actor		"[""Mrinalini""]"
tt7019820	4	nm0695177	actor		"[""Kasi""]"
tt7019820	5	nm1001345	director		
tt7025976	10	nm0874351	composer		
tt7025976	1	nm0001993	actor		"[""François Vidocq""]"
tt7025976	2	nm0156228	actor		"[""Henry""]"
tt7025976	3	nm0225944	actor		"[""Nathanaël""]"
tt7025976	4	nm1385871	actor		"[""La Baronne""]"
tt7025976	5	nm0724938	director		
tt7025976	6	nm0078704	writer	adaptation	
tt7025976	9	nm0001937	composer		
tt7027278	10	nm3032664	composer		
tt7027278	1	nm3818286	actor		"[""Mansoor Khan""]"
tt7027278	2	nm9071083	actor		"[""Mandakini aka Mukku""]"
tt7027278	3	nm0080232	actor		"[""Briraaj""]"
tt7027278	5	nm0438461	director		
tt7027278	6	nm2837117	writer	story	
tt7027278	8	nm0780098	producer	producer	
tt7036540	1	nm0184392	actor		"[""John Sonsay""]"
tt7036540	2	nm0005162	actor		"[""Dr. Salvatore Reno""]"
tt7036540	3	nm0000616	actor		"[""Lonnie""]"
tt7036540	4	nm0223213	actor		"[""Detective Randi Toney""]"
tt7036540	7	nm1105671	composer		
tt7038516	10	nm0528718	self		"[""Self""]"
tt7038516	1	nm0131974	self		"[""Self""]"
tt7038516	2	nm0000347	archive_footage		"[""Self""]"
tt7038516	3	nm0244956	self		"[""Self""]"
tt7038516	4	nm0420747	self		"[""Self""]"
tt7038516	5	nm2442226	director		
tt7038516	6	nm0710957	composer		
tt7038516	8	nm0469552	self		"[""Self""]"
tt7038516	9	nm0000502	archive_footage		"[""Self""]"
tt7039854	3	nm2270922	actor		
tt7039854	4	nm0149816	actor		
tt7042862	1	nm0000385	actor		"[""Calvin Barr""]"
tt7042862	3	nm2636108	actor		"[""Calvin Barr""]"
tt7042862	8	nm1031246	producer	producer	
tt7043012	10	nm0319673	editor		
tt7043012	1	nm0350453	actor		"[""Morf Vandewalt""]"
tt7043012	2	nm0000623	actor		"[""Rhodora Haze""]"
tt7043012	3	nm1534698	actor		"[""Josephina""]"
tt7043012	4	nm0836432	actor		"[""Jon Dondon""]"
tt7043012	5	nm0319659	director		
tt7043012	7	nm0001937	composer		
tt7043012	8	nm0761486	composer		
tt7043012	9	nm0005696	cinematographer	director of photography	
tt7049542	1	nm1754366	actor		"[""Elizabeth""]"
tt7049542	2	nm0000130	actor		"[""Rachel""]"
tt7049542	4	nm0241759	actor		"[""Willa""]"
tt7052244	10	nm1676334	editor		
tt7052244	2	nm0000306	actor		"[""Friar Tuck""]"
tt7052244	3	nm3964231	actor		"[""Thomas""]"
tt7052244	4	nm1496173	actor		"[""Green""]"
tt7052494	1	nm0000237	actor		"[""Sam Munroe""]"
tt7052494	2	nm0005510	actor		"[""Becca""]"
tt7052494	3	nm4514519	actor		"[""Cam""]"
tt7052494	4	nm3065809	actor		"[""Cindy""]"
tt7059844	10	nm0451170	producer	producer	
tt7059844	1	nm0006795	actor		"[""Inspector Chulbul Pandey""]"
tt7059844	2	nm1679372	actor		"[""Balli Singh""]"
tt7059844	3	nm3848064	actor		"[""Rajjo Pandey""]"
tt7059844	4	nm10994971	actor		"[""Khushi""]"
tt7059844	5	nm0222150	director		
tt7059844	9	nm2365760	producer	producer	
tt7066030	1	nm3367906	actor		"[""Rusha""]"
tt7066030	6	nm3359107	writer		
tt7068818	1	nm0769590	actor		"[""Brandy""]"
tt7068818	5	nm2124081	producer	producer	
tt7068818	8	nm1046893	cinematographer		
tt7069210	10	nm0755911	producer	producer	
tt7069210	1	nm0933940	actor		"[""Ed Warren""]"
tt7069210	2	nm0267812	actor		"[""Lorraine Warren""]"
tt7069210	3	nm4754741	actor		"[""Arne Cheyenne Johnson""]"
tt7069210	4	nm7511512	actor		"[""Debbie Glatzel""]"
tt7069210	7	nm1490123	writer	story by	
tt7069210	8	nm0370937	writer	based on characters created by	
tt7069210	9	nm0370928	writer	based on characters created by	
tt7074886	10	nm1387379	composer		
tt7074886	1	nm0413168	actor		"[""Gary Hart""]"
tt7074886	2	nm0267812	actor		"[""Lee Hart""]"
tt7074886	3	nm0799777	actor		"[""Bill Dixon""]"
tt7074886	4	nm1975628	actor		"[""Billy Shore""]"
tt7074886	5	nm0718646	director		
tt7074886	6	nm2741096	writer	written by	
tt7080422	10	nm2031047	composer		
tt7080422	1	nm1032473	actor		"[""Firedrake""]"
tt7080422	2	nm0428065	actor		"[""Sorrell""]"
tt7080422	3	nm0383603	actor		"[""Ben""]"
tt7080422	4	nm0001772	actor		"[""Nettlebrand""]"
tt7080422	6	nm1751315	writer	based on the book by	
tt7080422	8	nm0073316	producer	producer	
tt7080422	9	nm0006905	producer	producer	
tt7080676	1	nm0149837	actor		
