tconst	rating	votes
tt0035423	6.4	86063
tt0062336	6.4	165
tt0081145	5.4	278
tt0082972	4.8	35
tt0083643	4.6	97
tt0084460	5.3	220
tt0086127	6	88
tt0086837	6.7	54513
tt0086846	6.7	1321
tt0086856	6.2	27114
tt0086859	5.9	12754
tt0086879	8.4	404980
tt0086880	6.3	13
tt0086924	5.8	53
tt0086927	6.3	40857
tt0086945	6	303
tt0086955	3.8	6183
tt0086960	7.3	188978
tt0086969	7.2	23773
tt0086973	5.8	11080
tt0086979	7.6	98816
tt0086984	6.8	34839
tt0086993	7	28061
tt0087001	5.5	1705
tt0087015	5.6	13068
tt0087042	4.6	4270
tt0087050	5.6	53914
tt0087061	6.2	65
tt0087078	5.9	81729
tt0087085	5.8	187
tt0087089	6.5	18537
tt0087091	6.6	2112
tt0087100	6.4	7616
tt0087175	6.3	17177
tt0087197	6.4	9246
tt0087231	6.8	11999
tt0087233	6.5	14554
tt0087247	5.7	3876
tt0087262	6	35187
tt0087268	6.4	2778
tt0087277	6.6	83856
tt0087313	6.4	1734
tt0087333	3.9	541
tt0087359	5.4	2115
tt0087363	7.3	231207
tt0087365	6.4	20464
tt0087451	5.6	11239
tt0087464	5.8	1551
tt0087469	7.5	495510
tt0087474	5.9	323
tt0087485	6.5	40
tt0087507	6.5	15328
tt0087538	7.3	229851
tt0087553	7.8	56556
tt0087578	7	14067
tt0087643	4.4	234
tt0087666	5.5	1534
tt0087688	6.7	1067
tt0087730	5.9	528
tt0087781	7.4	50165
tt0087800	7.4	244654
tt0087803	7.1	73940
tt0087826	6.8	31
tt0087829	4.5	498
tt0087866	5.3	3295
tt0087884	8.1	108691
tt0087908	6.7	39
tt0087909	6.7	27833
tt0087928	6.7	129489
tt0087932	6.6	9218
tt0087968	6.6	4852
tt0087983	6.2	2238
tt0087985	6.3	59203
tt0087995	6.9	38521
tt0088001	3.9	7682
tt0088006	6.3	956
tt0088007	6.3	7190
tt0088008	5.3	945
tt0088011	6.9	96915
tt0088088	3.6	25
tt0088099	7.3	2976
tt0088119	6.4	92
tt0088128	7	118935
tt0088153	6.2	794
tt0088161	6.3	78977
tt0088172	7	48784
tt0088176	6.5	792
tt0088182	5.2	66
tt0088194	6.7	22284
tt0088200	5.8	227
tt0088242	6.1	4444
tt0088247	8.1	874221
tt0088256	5.7	1801
tt0088286	7.2	68915
tt0088287	3.8	138
tt0088307	5.8	300
tt0088315	6.5	2010
tt0088323	7.3	147866
tt0088330	5.7	774
tt0088351	3.8	13
tt0088356	5.6	125
tt0088421	5.4	72
tt0088423	6.4	780
tt0088443	6.2	213
tt0088645	6	419
tt0088715	5.9	335
tt0088722	6.1	828
tt0088763	8.5	1217911
tt0088781	5.2	736
tt0088809	5	49
tt0088830	3.9	640
tt0088846	7.9	203400
tt0088847	7.8	406037
tt0088848	5.5	695
tt0088850	6.5	40562
tt0088870	4	738
tt0088889	6.3	26403
tt0088915	6.2	10766
